*Header begin
Subject ID = zp_6-20_18-7_radial.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\radial\zp_6-20_18-7_radial.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
115		-1		3.000000e-01	1		2		8.111028e-01		1.705503e+00
116		1		3.000000e-01	1		8		5.973469e-01		1.990930e+00
117		-1		5.000000e-02	-2		space		2		1.903004e+00
118		1		3.000000e-01	-2		space		2		1.378064e+00
119		-1		5.000000e-01	1		2		6.520323e-01		1.332562e+00
120		1		3.000000e-01	1		8		7.362997e-01		1.821812e+00
121		-1		1.500000e-01	1		2		6.825141e-01		1.671926e+00
122		1		5.000000e-01	1		8		7.567381e-01		1.710382e+00
123		1		5.000000e-01	1		8		6.209462e-01		1.399094e+00
124		1		5.000000e-02	-2		space		2		1.548052e+00
125		1		5.000000e-02	1		8		7.334617e-01		1.948411e+00
126		1		5.000000e-01	1		8		6.256829e-01		1.979142e+00
127		-1		3.000000e-01	1		2		7.119162e-01		1.607190e+00
128		-1		3.000000e-01	1		2		5.922024e-01		1.839568e+00
129		1		8.000000e-01	1		8		5.344054e-01		1.649792e+00
130		-1		3.000000e-01	1		2		7.305604e-01		1.301246e+00
131		1		1.500000e-01	1		8		7.608394e-01		1.408198e+00
132		1		6.500000e-01	1		8		8.291165e-01		1.903755e+00
133		-1		8.000000e-01	1		2		5.953075e-01		1.489178e+00
134		1		6.500000e-01	1		8		5.995631e-01		1.536771e+00
135		-1		1.500000e-01	1		2		6.997786e-01		1.303786e+00
136		1		5.000000e-01	1		8		7.580030e-01		1.631929e+00
137		1		1.500000e-01	1		8		7.622544e-01		1.899707e+00
138		-1		1.500000e-01	1		2		6.824599e-01		1.364626e+00
139		-1		3.000000e-01	1		2		9.107060e-01		1.298216e+00
140		1		8.000000e-01	1		8		5.468768e-01		1.420510e+00
